Z,sym,name,mass,cat,period,group
1,H,Hydrogen,1.008,nonmetal,1,1
2,He,Helium,4.003,noble gas,1,18
3,Li,Lithium,6.941,alkali metal,2,1
4,Be,Beryllium,9.012,alkaline earth,2,2
5,B,Boron,10.81,metalloid,2,13
6,C,Carbon,12.011,nonmetal,2,14
7,N,Nitrogen,14.007,nonmetal,2,15
8,O,Oxygen,15.999,nonmetal,2,16
9,F,Fluorine,18.998,halogen,2,17
10,Ne,Neon,20.18,noble gas,2,18
11,Na,Sodium,22.99,alkali metal,3,1
12,Mg,Magnesium,24.305,alkaline earth,3,2
13,Al,Aluminium,26.982,post-transition,3,13
14,Si,Silicon,28.086,metalloid,3,14
15,P,Phosphorus,30.974,nonmetal,3,15
16,S,Sulfur,32.06,nonmetal,3,16
17,Cl,Chlorine,35.45,halogen,3,17
18,Ar,Argon,39.948,noble gas,3,18
19,K,Potassium,39.098,alkali metal,4,1
20,Ca,Calcium,40.078,alkaline earth,4,2
21,Sc,Scandium,44.956,transition,4,3
22,Ti,Titanium,47.867,transition,4,4
23,V,Vanadium,50.942,transition,4,5
24,Cr,Chromium,51.996,transition,4,6
25,Mn,Manganese,54.938,transition,4,7
26,Fe,Iron,55.845,transition,4,8
27,Co,Cobalt,58.933,transition,4,9
28,Ni,Nickel,58.693,transition,4,10
29,Cu,Copper,63.546,transition,4,11
30,Zn,Zinc,65.38,transition,4,12
31,Ga,Gallium,69.723,post-transition,4,13
32,Ge,Germanium,72.63,metalloid,4,14
33,As,Arsenic,74.922,metalloid,4,15
34,Se,Selenium,78.971,nonmetal,4,16
35,Br,Bromine,79.904,halogen,4,17
36,Kr,Krypton,83.798,noble gas,4,18
37,Rb,Rubidium,85.468,alkali metal,5,1
38,Sr,Strontium,87.62,alkaline earth,5,2
39,Y,Yttrium,88.906,transition,5,3
40,Zr,Zirconium,91.224,transition,5,4
41,Nb,Niobium,92.906,transition,5,5
42,Mo,Molybdenum,95.96,transition,5,6
43,Tc,Technetium,98,transition,5,7
44,Ru,Ruthenium,101.07,transition,5,8
45,Rh,Rhodium,102.906,transition,5,9
46,Pd,Palladium,106.42,transition,5,10
47,Ag,Silver,107.868,transition,5,11
48,Cd,Cadmium,112.414,transition,5,12
49,In,Indium,114.818,post-transition,5,13
50,Sn,Tin,118.71,post-transition,5,14
51,Sb,Antimony,121.76,metalloid,5,15
52,Te,Tellurium,127.6,metalloid,5,16
53,I,Iodine,126.904,halogen,5,17
54,Xe,Xenon,131.293,noble gas,5,18
55,Cs,Caesium,132.905,alkali metal,6,1
56,Ba,Barium,137.327,alkaline earth,6,2
57,La,Lanthanum,138.905,lanthanide,9,3
58,Ce,Cerium,140.116,lanthanide,9,4
59,Pr,Praseodymium,140.908,lanthanide,9,5
60,Nd,Neodymium,144.242,lanthanide,9,6
61,Pm,Promethium,145,lanthanide,9,7
62,Sm,Samarium,150.36,lanthanide,9,8
63,Eu,Europium,151.964,lanthanide,9,9
64,Gd,Gadolinium,157.25,lanthanide,9,10
65,Tb,Terbium,158.925,lanthanide,9,11
66,Dy,Dysprosium,162.5,lanthanide,9,12
67,Ho,Holmium,164.93,lanthanide,9,13
68,Er,Erbium,167.259,lanthanide,9,14
69,Tm,Thulium,168.934,lanthanide,9,15
70,Yb,Ytterbium,173.045,lanthanide,9,16
71,Lu,Lutetium,174.967,lanthanide,9,17
72,Hf,Hafnium,178.49,transition,6,4
73,Ta,Tantalum,180.948,transition,6,5
74,W,Tungsten,183.84,transition,6,6
75,Re,Rhenium,186.207,transition,6,7
76,Os,Osmium,190.23,transition,6,8
77,Ir,Iridium,192.217,transition,6,9
78,Pt,Platinum,195.084,transition,6,10
79,Au,Gold,196.967,transition,6,11
80,Hg,Mercury,200.592,transition,6,12
81,Tl,Thallium,204.38,post-transition,6,13
82,Pb,Lead,207.2,post-transition,6,14
83,Bi,Bismuth,208.98,post-transition,6,15
84,Po,Polonium,209,post-transition,6,16
85,At,Astatine,210,halogen,6,17
86,Rn,Radon,222,noble gas,6,18
87,Fr,Francium,223,alkali metal,7,1
88,Ra,Radium,226,alkaline earth,7,2
89,Ac,Actinium,227,actinide,10,3
90,Th,Thorium,232.038,actinide,10,4
91,Pa,Protactinium,231.036,actinide,10,5
92,U,Uranium,238.029,actinide,10,6
93,Np,Neptunium,237,actinide,10,7
94,Pu,Plutonium,244,actinide,10,8
